Episode #0 Angle PID Val: Kp 29.544282878767778, Ki 24.262401949823612, Kd 8.794453978080183. X PID Val: Kp 10.711152801412, Ki 4.540861304257912, Kd 6.830010641947561
Episode #149 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #150 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #151 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #152 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #153 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #154 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #155 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #156 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #157 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #158 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #159 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #160 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #161 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #162 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #163 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #164 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #165 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #166 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #167 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #168 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #169 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #170 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #171 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #172 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #173 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #174 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #175 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #176 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #177 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #178 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #179 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #180 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #181 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #182 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #183 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #184 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #185 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #186 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #187 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #188 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #189 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #190 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #191 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #192 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #193 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #194 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #195 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #196 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #197 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #198 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #199 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #200 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #201 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #202 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #203 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #204 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #205 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #206 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #207 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #208 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #209 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #210 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #211 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #212 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #213 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #214 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #215 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #216 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #217 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #218 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #219 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #220 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #221 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #222 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #223 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #224 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #225 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #226 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #227 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #228 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #229 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #230 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #231 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #232 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #233 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #234 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #235 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #236 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #237 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #238 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #239 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #240 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #241 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #242 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #243 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #244 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #245 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #246 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #247 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #248 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #249 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #250 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #251 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #252 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #253 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #254 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #255 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #256 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #257 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #258 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #259 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #260 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #261 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #262 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #263 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #264 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #265 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #266 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #267 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #268 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #269 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #270 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #271 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #272 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #273 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #274 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #275 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #276 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #277 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #278 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #279 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #280 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #281 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #282 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #283 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #284 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #285 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #286 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #287 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #288 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #289 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #290 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #291 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #292 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #293 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #294 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #295 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #296 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
Episode #297 Angle PID Val: Kp 31.1169183781938, Ki 4.100718315980789, Kd 12.952693379463945. X PID Val: Kp 9.33408948519722, Ki 1.2090773125448289, Kd 12.941908932758196
